Market Segment,Country/Region,Sales,Profit
Manufacturing,Japan,19352.47,3368.36
Finance,Brazil,47585.0,15073.04
Manufacturing,France,36867.7,16560.17
Healthcare,Germany,30334.27,11918.03
Healthcare,India,8644.91,3653.55
Technology,Australia,8643.73,3142.11
Education,Brazil,3846.1,1449.63
Manufacturing,UK,43442.63,19100.78
Technology,Brazil,30454.64,6086.88
Education,Canada,35695.56,10557.67
Manufacturing,Germany,2008.64,378.6
Finance,China,48525.58,24023.42
Manufacturing,China,41789.69,19959.75
Healthcare,Japan,11404.62,1320.32
Healthcare,Japan,9909.42,3787.68
Finance,Canada,9986.82,4694.8
Technology,Australia,15907.87,2739.81
Education,Japan,26713.07,8739.93
Manufacturing,France,22165.31,10333.36
Healthcare,Germany,15270.23,1734.37
Technology,Canada,30980.79,11740.73
Finance,USA,7835.2,1715.44
Healthcare,UK,15315.09,7194.39
Finance,Canada,18951.73,9256.47
Manufacturing,Canada,23347.43,11153.22
Education,China,39473.62,11434.94
Healthcare,India,10784.02,4796.91
Healthcare,Australia,26197.49,11469.78
Manufacturing,India,30028.31,6835.65
Technology,France,3276.07,1413.84
Education,USA,30769.7,3532.46
Healthcare,China,9355.68,3166.97
Education,USA,4187.53,804.02
Healthcare,France,47495.39,7040.09
Education,India,48315.97,6318.82
Finance,Canada,40611.47,15372.07
Healthcare,Japan,15926.07,3757.76
Education,Japan,5785.93,2255.97
Technology,Brazil,34527.42,4355.38
Finance,UK,22567.47,5102.87
Finance,Australia,6979.87,2204.22
Technology,France,25263.67,10516.99
Education,UK,2685.04,610.85
Manufacturing,Australia,45556.7,15961.09
Technology,UK,13680.22,6216.17
Education,India,33463.59,11589.96
Technology,Australia,16273.84,3143.84
Technology,India,26483.33,2906.82
Healthcare,Canada,27788.8,12450.48
Education,China,10057.87,1091.36
Manufacturing,India,48509.65,21823.55
Healthcare,Japan,38981.51,12145.66
Technology,UK,47035.45,22371.33
Technology,Brazil,44846.54,18813.72
Technology,Germany,30297.1,15123.51
Education,Australia,46171.84,11094.39
Education,France,5336.13,2171.14
Healthcare,Brazil,10603.16,2765.01
Manufacturing,Japan,3216.14,938.95
Healthcare,India,16941.19,5946.39
Finance,China,20045.19,9009.73
Technology,Canada,14296.1,7057.03
Technology,Germany,41608.14,16947.38
Technology,USA,18480.91,4936.38
Healthcare,Brazil,14765.79,3965.25
Healthcare,China,27592.11,10899.79
Technology,USA,7905.29,1545.57
Healthcare,Germany,40307.65,5811.95
Education,France,4652.98,1125.32
Education,France,49357.46,10606.7
Healthcare,UK,38839.99,8487.44
Technology,Germany,10737.07,2077.01
Healthcare,Germany,1270.58,148.45
Healthcare,USA,40957.61,4388.59
Healthcare,China,35636.01,17642.99
Finance,Australia,36721.35,9955.5
Education,USA,38792.25,9842.78
Manufacturing,Canada,4628.19,1721.03
Manufacturing,France,18564.82,3477.22
Finance,France,6677.58,3205.14
Healthcare,UK,43292.07,17946.21
Finance,Canada,31541.61,4282.23
Finance,France,17214.0,4596.7
Technology,USA,4114.36,1858.24
Education,Canada,16238.13,7760.09
Manufacturing,USA,16933.98,4859.39
Healthcare,Australia,36750.7,12692.39
Manufacturing,Australia,32240.32,5378.12
Manufacturing,France,44473.42,22079.61
Education,France,24138.53,4650.74
Manufacturing,China,6860.12,3272.91
Manufacturing,Australia,35948.99,12936.56
Finance,Brazil,38278.47,13133.14
Education,Brazil,28502.58,8695.44
Technology,UK,38777.39,7455.65
Healthcare,Australia,25195.98,4298.72
Manufacturing,USA,26613.91,5008.59
Healthcare,USA,21949.51,3831.84
Technology,Japan,2245.54,924.79
Healthcare,Canada,6286.68,1509.12
Technology,India,2540.03,312.77
Finance,Brazil,32184.11,15694.29
Manufacturing,France,16403.44,7439.2
Technology,UK,25919.96,12210.92
Healthcare,India,45470.76,22642.76
Manufacturing,Germany,13215.32,2240.76
Finance,UK,21108.76,5456.55
Manufacturing,Germany,38022.01,15334.1
Technology,Australia,12211.11,4620.78
Finance,Germany,4772.02,770.96
Healthcare,Germany,15197.82,6479.34
Finance,China,8899.84,1688.98
Finance,China,46555.18,8823.47
Education,China,40597.9,12779.8
Finance,Australia,32036.78,10802.03
Finance,India,43701.57,14510.43
Manufacturing,UK,40379.93,5515.69
Healthcare,UK,10141.93,4573.85
Manufacturing,France,44735.39,9226.23
Manufacturing,China,27427.77,4163.7
Technology,Australia,40564.57,18477.13
Manufacturing,France,44908.47,21657.59
Education,Canada,16582.17,7376.6
Education,France,6392.54,2709.2
Technology,India,12168.82,4406.29
Healthcare,Brazil,21928.28,7024.57
Healthcare,Germany,41082.72,5537.73
Manufacturing,China,43175.8,11371.7
Manufacturing,Brazil,1340.65,333.92
Manufacturing,France,26026.62,5306.87
Healthcare,Australia,21453.14,8353.17
Finance,Germany,11883.28,3545.38
Education,UK,6873.4,910.17
Finance,USA,17543.14,3299.4
Finance,Germany,47202.58,17620.89
Healthcare,India,16836.94,2196.42
Finance,India,26420.74,11637.88
Technology,France,35447.93,10565.56
Manufacturing,Canada,18817.85,5499.23
Technology,India,48617.32,16382.24
Education,India,48159.92,20702.62
Manufacturing,Australia,13337.33,3189.27
Finance,France,25365.18,9415.72
Education,Germany,15743.04,5136.84
Manufacturing,Canada,14957.18,3093.31
Finance,Brazil,2807.46,1267.43
Technology,USA,30868.65,12933.05
Manufacturing,China,25631.27,9313.91
Finance,UK,3522.46,1550.7
Technology,India,14653.68,6548.99
Education,France,45505.03,17444.13
Education,China,12738.53,5538.78
Education,UK,8099.85,3069.75
Education,UK,24983.19,9295.15
Healthcare,Brazil,49296.87,17127.93
Manufacturing,Brazil,12860.71,5158.26
Manufacturing,Brazil,33934.64,5546.35
Healthcare,Japan,38319.36,17333.7
Finance,Japan,12644.24,5673.94
Finance,UK,36682.6,4097.41
Education,Brazil,19021.37,8185.4
Technology,Australia,31982.99,4846.96
Finance,India,32042.96,7499.58
Technology,China,27252.96,10830.42
Manufacturing,China,5424.2,891.22
Technology,Japan,41929.82,17911.87
Manufacturing,UK,16718.22,7236.54
Healthcare,France,10139.41,3072.11
Healthcare,Germany,2997.98,307.46
Education,Germany,29953.75,6434.52
Finance,Japan,34200.65,11859.79
Education,France,1812.8,892.76
Manufacturing,Japan,26092.56,9203.51
Education,Germany,12098.29,2467.1
Technology,France,32613.47,11532.2
Manufacturing,Brazil,9543.96,3015.83
Healthcare,UK,34855.95,14358.5
Finance,China,19950.03,2848.71
Manufacturing,Australia,46899.77,18966.79
Manufacturing,Canada,7738.53,2449.29
Technology,UK,17712.25,8593.93
Finance,Brazil,6560.2,1553.12
Healthcare,Germany,46309.99,16349.68
Manufacturing,Brazil,43989.63,20798.79
Manufacturing,Japan,13639.14,1923.17
Technology,France,33339.22,15832.51
Education,China,41043.89,15397.79
Healthcare,India,28204.84,3585.82
Finance,Japan,26952.88,5940.02
Manufacturing,UK,12850.76,4925.3
Manufacturing,Japan,5562.04,706.05
Healthcare,UK,44963.57,14966.94
Education,India,45120.48,10754.61
Manufacturing,USA,32021.97,11155.37
Healthcare,China,17612.46,2083.5
Technology,Australia,18111.27,8124.98
Education,Australia,36571.83,17898.09
Finance,Canada,44958.4,21919.52
Manufacturing,Brazil,44467.23,17780.7
Healthcare,USA,39213.9,5961.87
Technology,Australia,32459.55,13091.11
Finance,Japan,5122.86,562.67
Healthcare,Brazil,8919.81,970.92
Healthcare,USA,45029.16,10331.67
Finance,France,30715.02,9074.98
Technology,France,1450.66,592.1
